time gx gy gz
2259981183617 0.372432 -1.273087 -0.501725
2260001204867 1.272554 -2.197709 -0.488942
2260021236690 1.923411 -3.053224 -0.548595
2260041258096 1.950042 -3.019137 -0.460181
2260061264919 1.332207 -2.224340 -0.204525
2260081286325 0.505586 -1.318892 0.062849
2260101299190 0.046471 -0.901320 0.027696
2260121320544 0.134885 -1.229412 -0.337679
2260141338825 0.506651 -1.813160 -0.758446
2260161360180 0.693067 -2.027272 -0.932079
2260181381950 0.549261 -1.995315 -1.004515
2260201403305 0.427824 -2.034728 -1.057776
2260221439815 0.491738 -2.132730 -1.071624
2260241461221 0.543935 -2.058163 -1.026885
2260261501742 0.399063 -1.835530 -0.959775
2260281523096 0.239278 -1.829138 -0.938470
2260301518044 0.106124 -2.005967 -0.874556
2260321539450 0.050732 -2.130599 -0.873491
2260341575336 0.047536 -1.978271 -0.945927
2260361596742 -0.037683 -1.531938 -0.889470
2260381585648 -0.167641 -1.145259 -0.721163
2260401607003 -0.200663 -1.080279 -0.533682
2260421653513 -0.126097 -1.195325 -0.271634
2260441674919 -0.092009 -1.071758 0.120504
2260461695857 -0.210250 -0.631816 0.574294
2260481717263 -0.533016 0.007323 1.054714
2260501748982 -1.012504 0.869097 1.626744
2260521770388 -1.723014 2.120879 2.462952
2260541780596 -3.293168 4.509131 4.148150
2260561801950 -6.494326 8.742500 7.339722
2260581811950 -10.677629 14.495957 11.672157
2260601833357 -12.289327 20.915318 15.156668
2260621865180 -5.577161 23.661489 15.696741
2260641886586 5.998061 19.064875 9.881501
2260661906534 10.471107 5.808716 1.771616
2260681927940 7.462756 -6.287271 0.480553
2260701965596 4.679302 -5.426563 1.148454
2260721987003 3.971988 -2.348972 -1.210105
2260742002471 2.902360 -3.862801 -4.186366
2260762023878 1.974543 -8.575525 -6.405379
2260782041065 3.544696 -13.454426 -7.026410
2260802062471 6.632940 -14.513268 -6.064505
2260822084138 8.680450 -13.510883 -5.348668
2260842105544 8.378857 -14.272525 -4.768116
2260862107107 5.951190 -14.083979 -3.121133
2260882128461 -0.737674 -6.203118 1.702376
2260902152680 -9.986160 5.008726 10.807188
2260922174034 -15.379702 8.795762 20.195353
2260942224763 -15.257199 11.552718 25.360802
2260962246117 -8.554487 20.391090 22.156448
2260982205961 2.932187 23.402637 12.363494
2261002227315 10.690545 7.097781 3.123396
2261022296794 11.501188 -11.099062 1.656571
2261042318148 8.924389 -7.225875 4.671180
2261062318878 6.275022 5.412449 4.416589
2261082340232 5.553859 8.953417 2.400103
2261102397523 4.840153 4.585828 1.024887
2261122418878 3.051493 0.843531 0.331421
2261142433409 1.722082 -0.096004 -0.270569
2261162454763 0.897592 0.570832 -0.758446
2261182451325 0.025166 1.283473 -0.775490
2261202472628 -0.810110 0.859510 -0.559247
2261222525596 -1.284138 -0.764970 -0.483616
2261242546950 -1.493989 -2.546040 -0.644466
2261262566482 -1.714493 -3.660407 -0.795729
2261282587836 -1.824212 -3.824453 -0.781881
2261302575492 -1.646318 -3.416469 -0.510247
2261322596846 -1.147789 -3.015941 -0.108654
2261342625596 -0.572430 -2.871069 0.316507
2261362646898 -0.216642 -3.570927 0.688274
2261382659659 -0.054726 -5.306192 0.906646
2261402681013 -0.051531 -7.890581 0.986539
2261422714919 0.088015 -11.160846 0.922625
2261442736273 0.511978 -14.187306 0.925821
2261462761794 0.435281 -14.395026 1.227282
2261482783148 0.148733 -12.178277 1.247521
2261502802628 0.513043 -9.333971 0.613707
2261522823982 1.124487 -6.089139 -0.635944
2261542843878 1.194792 -2.855091 -1.560566
2261562865232 0.491738 -0.880016 -1.533936
2261582877836 -0.341274 -1.115432 -0.929948
2261602899242 -0.445667 -2.738981 -0.624227
2261622940232 0.030492 -2.915809 -0.961905
2261642961534 -0.067509 -1.139933 -1.416760
2261662975753 -0.689605 0.507983 -1.563762
2261682997159 -1.111571 0.657116 -1.436999
2261703021117 -1.045526 -0.146070 -1.323019
2261723042471 -0.666170 -0.647795 -1.365629
2261743057628 -0.435015 -0.472031 -1.391194
2261763078982 -0.486146 -0.015046 -1.218627
2261783104294 -0.610778 0.298132 -0.946992
2261803125700 -0.628887 0.255523 -0.754185
2261823143669 -0.476559 -0.069373 -0.690271
2261843165023 -0.241142 -0.364443 -0.651923
2261863198825 -0.116510 -0.398530 -0.589074
2261883220180 -0.175098 -0.174831 -0.533682
2261903239138 -0.311448 0.029693 -0.435680
2261923260492 -0.387079 0.072303 -0.271634
2261943272940 -0.372166 0.046737 -0.090545
2261963294242 -0.348731 0.084020 0.112915
2261983319294 -0.389210 0.196935 0.402791
2262003340596 -0.693866 0.626224 0.825689
2262023357003 -1.735797 2.098509 1.553243
2262043378253 -3.985569 4.889420 3.057352
2262063392315 -6.867158 8.219471 5.192212
2262083413669 -8.830382 11.000794 7.343983
2262103425232 -7.412557 12.157771 8.527456
2262123446534 -1.319291 12.691453 8.058754
2262143455023 4.493952 12.351644 6.388469
2262163476325 5.823363 9.688428 3.282116
2262183545909 5.663578 5.317643 -0.270569
2262203567263 5.255593 1.133275 -1.840723
2262223571690 3.815265 -0.559380 -2.363752
2262243593044 1.535667 -1.570287 -3.850817
2262263605284 0.464042 -4.041760 -6.444793
2262283626638 1.126617 -7.396312 -7.767812
2262303640700 2.913013 -10.123309 -6.680210
2262323662055 5.034025 -12.689589 -5.102599
2262343683513 5.949060 -15.371845 -3.826317
2262363704815 4.363993 -14.796619 -1.532870
2262383731430 -1.391727 -7.547575 3.576120
2262403752784 -8.169938 1.404909 10.897734
2262423759346 -11.593730 7.165956 17.942253
2262443780700 -9.930768 14.464001 20.529837
2262463803044 0.380954 19.429184 15.241887
